TIMESTAMP,RECORD,BGTemp_C_Avg,AirTC_Avg,RH_Avg,P_Air_Avg,cal_NetRad_Pyrano_Up_Avg,mean_wind_speed,mean_wind_direction,std_wind_dir,wind_speed_Max,esat_kPa,ea_kPa,dewpoint_C,wet_bulb_C,WBGT_C
2025-04-30 11:00:00,10900.0,7.491928,-13.45138,86.38775,1006.436,489.1195,0.5233333,180.6965,55.75749,1.07,0.21711073591236862,0.18755707976313724,-15.23996866886527,-14.03461424914514,-9.670982374401596
2025-04-30 11:30:00,10901.0,7.380484,-13.25256,86.38579,1006.156,513.4537,0.6836667,161.9839,24.86064,1.81,0.2206506570869593,0.1906108132647608,-15.044463328223065,-13.839121623474172,-9.53654433643192
2025-04-30 12:00:00,10902.0,6.63642,-13.5479,86.37334,1005.836,482.3288,0.7338889,131.2833,33.84648,1.47,0.2154105683460987,0.18605730259350822,-15.337030322642374,-14.130638744401645,-9.91895312108115
2025-04-30 12:30:00,10903.0,0.5647156,-13.96951,86.63162,1005.497,512.7833,1.462667,79.3861,11.92802,2.21,0.2081224586924053,0.18029985754906153,-15.716248767993813,-14.53465393222246,-11.45826563255572
2025-04-30 13:00:00,10904.0,6.23417,-13.23747,86.78911,1005.098,545.7266,0.762889,106.3521,29.24163,1.84,0.2209214194252879,0.19173573371857447,-14.973148541439091,-13.816151720780105,-9.748219204546075
2025-04-30 13:30:00,10905.0,1.406913,-13.2096,86.82425,1004.773,389.0975,0.9836665,122.3678,19.10006,1.66,0.22142227462795896,0.1922482292786657,-14.940782511438229,-13.787277135408962,-10.690671394786271
2025-04-30 14:00:00,10906.0,-1.805648,-13.10289,87.0243,1004.543,349.672,1.320334,122.7293,14.80463,2.14,0.2233493493326335,0.19436820781127895,-14.807711277743325,-13.682714553346335,-11.249318787342435
2025-04-30 14:30:00,10907.0,-3.973708,-12.86479,87.17141,1004.232,364.531,1.956555,134.5908,13.26669,2.81,0.22770321954772285,0.19849210709514561,-14.552525246241055,-13.441397963313067,-11.490199174319146
2025-04-30 15:00:00,10908.0,-1.545248,-12.55214,87.25111,1003.871,420.4658,1.505333,184.2977,14.08822,2.28,0.23353519348515572,0.20376204855644606,-14.233225539044069,-13.129785530448382,-10.755113471313868
2025-04-30 15:30:00,10909.0,2.167364,-12.17985,87.16624,1003.611,467.679,1.219667,173.0579,18.68789,1.73,0.24065312576876857,0.20976828117510668,-13.878183219726699,-12.767201998728133,-9.721553599109692
2025-04-30 16:00:00,10910.0,3.388588,-12.17992,87.18356,1003.221,440.938,1.030778,126.7119,14.21226,1.57,0.2406517694352439,0.20980877979663753,-13.875820214875414,-12.766662552799756,-9.47693818695983
2025-04-30 16:30:00,10911.0,5.02414,-11.86995,87.4797,1002.7,423.6636,0.7252221,140.304,23.58663,1.43,0.24672505114651636,0.21583433456781903,-13.52869854146609,-12.456874550137718,-8.901979185096401
2025-04-30 17:00:00,10912.0,10.22667,-10.33506,88.10099,1002.117,440.4547,0.2805555,198.1808,100.2829,0.69,0.27885867442409207,0.24567725286850192,-11.927438644003356,-10.932732558699255,-6.641084791089479
2025-04-30 17:30:00,10913.0,6.443585,-10.89179,87.44906,1001.643,366.3764,0.4581111,114.8851,95.50398,1.21,0.2667963741233936,0.23331092128499095,-12.568694473418617,-11.495568599707061,-7.847360019794943
2025-04-30 18:00:00,10914.0,4.887856,-11.42078,86.84713,1001.126,339.1079,0.6032223,40.79802,40.58684,1.25,0.25576820452373833,0.22212734508139692,-13.175282839852386,-12.036693763700706,-8.590192434590493
2025-04-30 18:30:00,10915.0,3.365515,-11.05061,87.21146,1000.901,256.134,0.3336667,240.4731,100.1659,0.72,0.26344167835081317,0.2297513339382481,-12.758896165895747,-11.664189969121924,-8.596890978385346
2025-04-30 19:00:00,10916.0,-0.3030958,-11.62934,86.20718,1000.791,221.8274,0.7483334,125.286,26.40222,1.5,0.2515331600174624,0.2168396440159418,-13.471628226591507,-12.263251754731021,-9.807829388311713
2025-04-30 19:30:00,10917.0,-3.990552,-12.18978,86.8739,1000.526,149.0055,0.8876666,12.26848,83.31141,2.06,0.24046078825145034,0.20889766472477675,-13.929080491652217,-12.792657816549585,-10.97194887158471
2025-04-30 20:00:00,10918.0,-10.40766,-13.36465,86.26477,1000.327,94.28203,2.576,353.764,5.088523,3.05,0.21864865552323554,0.18861675979521142,-15.171806070181479,-13.958297353226136,-13.188805147258297
2025-04-30 20:30:00,10919.0,-11.34853,-13.72288,85.87647,1000.177,83.88437,2.639111,350.0046,5.97404,3.33,0.2123586118847698,0.18236607962764076,-15.578926953588214,-14.318639677999995,-13.665041774599999
2025-04-30 21:00:00,10920.0,-11.60062,-13.1646,86.10738,1000.028,75.57564,2.818778,358.5079,5.630078,3.39,0.2222331133012613,0.1913591113561476,-14.99698295794393,-13.768699149176761,-13.274673404423734
2025-04-30 21:30:00,10921.0,-11.19267,-12.48485,85.193,999.6315,55.09395,2.541889,6.295569,6.16145,3.49,0.23480765941899634,0.20003968928882554,-14.457981597600373,-13.122836487777667,-12.673004541444366
2025-04-30 22:00:00,10922.0,-12.25738,-13.17059,83.85625,999.4632,39.05574,2.096555,347.3998,18.74358,3.16,0.2221250290877017,0.18626571970435588,-15.323500390089606,-13.835581709672127,-13.453442196770489
2025-04-30 22:30:00,10923.0,-12.15828,-12.84624,83.40905,999.2604,29.1002,2.634889,348.7479,22.27694,3.57,0.22804557970673622,0.19021065160038145,-15.069922405120836,-13.527484428555262,-13.185519099988682
2025-04-30 23:00:00,10924.0,-12.42789,-12.70481,83.99781,999.249,19.4033,1.436555,302.9695,22.0349,2.49,0.2306709514977234,0.19375854756424984,-14.84584638535808,-13.372904453207068,-13.117092117244948
2025-04-30 23:30:00,10925.0,-12.25759,-12.58877,87.04533,999.0798,17.91352,0.8837777,308.9027,24.79499,1.4,0.23284510156801175,0.202680787048711,-14.298131778098016,-13.17825392961704,-12.935172750731926
2025-05-01 00:00:00,10926.0,-12.38192,-12.56238,85.71739,998.996,12.3895,0.9982224,19.10952,18.55884,1.42,0.23334209329524314,0.20001475214404738,-14.45949985267677,-13.185155968985413,-12.962231178289787
2025-05-01 00:30:00,10927.0,-12.4875,-12.25893,84.16608,998.9327,9.434656,0.593091,103.6016,67.94963,1.49,0.23912519474024965,0.2012623027052343,-14.383751347164509,-12.938180006963611,-12.780119004874528
2025-05-01 01:00:00,10928.0,-13.06759,-12.73265,85.16342,998.8024,7.343983,1.392333,30.84601,49.27798,2.11,0.2301520358071823,0.19600534489302107,-14.705832135733027,-13.368045612947489,-13.244414929063241
2025-05-01 01:30:00,10929.0,-13.43699,-13.48447,83.23503,998.6476,5.130299,1.663,318.9031,19.34486,2.58,0.21652652304219566,0.18022591641212846,-15.721188931403292,-14.160623710665291,-13.948281597465703
2025-05-01 02:00:00,10930.0,-14.09107,-13.93325,82.0517,998.5284,5.193584,2.128556,330.1395,11.93333,3.16,0.2087404996312715,0.171275128535952,-16.333023562160903,-14.63977441891824,-14.459381093242769
